subject,course_code,course_name,professor,grad_req,gen_ed,has_prereqs,prereqs,credits,is_lab,required_texts
INST,123,Intro to Databases,Vijay Arni,FALSE,DSSP,FALSE,,3,FALSE,[1]
PHYS,260,"General Physics: Electricity, Magnetism and Thermodynamics",Drew Baden,TRUE,DSNL,TRUE,"PHYS161, MATH141",3,FALSE,[]
PHYS,161,General Physics: Mechanics and Particle Dynamics,Dr. Hailu Gebremariam,TRUE,DSNL or DSNS,TRUE,MATH141*,3,FALSE,[2]
MATH,141,Calculus II,Tim Pilachowski,TRUE,NONE,TRUE,MATH140,4,FALSE,"[3, 11]"
MATH,241,Calculus III,Patrick Brosnan,TRUE,NONE,TRUE,MATH141*,4,FALSE,[4]
CMSC,420,Advanced Data Structures,Justin Wyss-Gallifent,FALSE,NONE,TRUE,"CMSC351, CMSC330",3,FALSE,[5]
CMSC,351,Algorithms,Justin Wyss-Gallifent,TRUE,NONE,TRUE,"CMSC250, CMSC216",3,FALSE,[6]
CMSC,351,Algorithms,Ting Jiang,TRUE,NONE,TRUE,"CMSC250, CMSC216",3,FALSE,[6]
CMSC,330,Organization of Programming Languages,Anwar Mamat,TRUE,NONE,TRUE,"CMSC250, CMSC216",3,FALSE,[7]
CMSC,330,Organization of Programming Languages,Cliff Bakalian,TRUE,NONE,TRUE,"CMSC250, CMSC216",3,FALSE,[7]
CHEM,135,General Chemistry for Engineers,Dr. Elizabeth C. Griffith,TRUE,DSNL or DSNS,TRUE,MATH120,3,FALSE,[8]
ENEE,446,Digital Computer Design,Manoj Franklin,TRUE,NONE,TRUE,ENEE350,3,FALSE,[]
ENEE,459B,Topics in Computer Engineering; Computer Security and Reverse Engineering Laboratory,Yonghwi Kwon,FALSE,NONE,TRUE,"ENEE244, ENEE245, ENEE350",3,TRUE,"[9, 10]"
ENEE,484,Optoelectronic Devices,Cheng Gong,FALSE,NONE,FALSE,,3,FALSE,[]
ENES,461,Advanced Entrepreneurial Opportunity Analysis in Technology Ventures,James Green,FALSE,NONE,FALSE,,3,FALSE,[12]
CMSC,132,Object-Oriented Programming II,Larry Herman,TRUE,NONE,TRUE,"CMSC131, MATH140",4,FALSE,[]
CMSC,216,Introduction to Computer Systems,Christopher Kauffman,TRUE,NONE,TRUE,"CMSC132, MATH141",4,FALSE,[13]
MATH,206,Introduction to Matlab,Justin Wyss-Gallifent,FALSE,NONE,TRUE,MATH140,1,FALSE,[]
ANSC,455,Applied Animal Behavior,Dr. Kristina Mayo,FALSE,NONE,TRUE,"ANSC101, ANSC103",3,FALSE,[]
MATH,246,Differential Equations for Scientists and Engineers,Weimin Jiang,TRUE,NONE,TRUE,MATH141,3,FALSE,[14]
ANSC,314,Comparitive Animal Nutrition,Dr. Nishanth Sunny,TRUE,NONE,TRUE,"ANSC101, ANSC103, CHEM231",3,FALSE,[]
MATH,461,Linear Algebra for Scientists and Engineers,Allan Yashinski,FALSE,NONE,TRUE,MATH141,3,FALSE,[15]
PHYS,260,"General Physics: Electricity, Magnetism and Thermodynamics",Andris Skuja,TRUE,DSNL,TRUE,"PHYS161, MATH141",3,FALSE,[16]
STAT,400,Applied Probability and Statistics I,,TRUE,NONE,TRUE,MATH141,3,FALSE,[17]
DATA,110,Applications of R for Data Science,Susan Mazzullo,FALSE,NONE,TRUE,"DATA100, STAT100, MATH135, or any 400-level STAT course",1,FALSE,[]
ENEE,101,Introduction to Electrical & Computer Engineering,Romel Gomez,TRUE,NONE,TRUE,Corequisite: MATH140; ENEE140 or CMSC131,3,TRUE,[]
ENEE,200,"Technology and Consequences: Engineering, Ethics, and Humanity",Nicole Mogul,TRUE,"DSHU, SCIS",FALSE,,3,FALSE,[18]
ENEE,205,Electric Circuits,Wesley Lawson,TRUE,NONE,TRUE,"PHYS260, PHYS261, ENEE290",4,TRUE,[]
ENEE,222,Elements of Discrete Signal Analysis,Danilo Romero,TRUE,NONE,TRUE,ENEE140 or CMSC131; ENEE290,4,TRUE,[]
ENEE,245,Digital Circuits and Systems Laboratory,Mamadou Wade,TRUE,NONE,TRUE,"ENEE244, ENEE150 or CMSC132",2,TRUE,[]
CHEM,135,General Chemistry for Engineers,Samuel Lascio,TRUE,DSNL or DSNS,TRUE,MATH120,3,FALSE,[19]
MATH,140,Calculus I,Dong Quan Nguyen,TRUE,"FSAR, FSMA",TRUE,MATH115,4,FALSE,[3]
MATH,241,Calculus III,Roohollah Ebrahimian,TRUE,NONE,TRUE,MATH141,4,FALSE,[1]
MATH,240,Introduction to Linear Algebra,Archana Khurana,TRUE,NONE,TRUE,MATH141,4,FALSE,[1]
CMSC,132,Object-Oriented Programming II,Pedram Sadeghian,TRUE,NONE,TRUE,CMSC131,4,FALSE,[]
CMSC,216,Introduction to Computer Systems,Ilchul Yoon,TRUE,NONE,TRUE,"CMSC132, MATH141",4,FALSE,[]
CMSC,250,Discrete Structures,Evan Golub,TRUE,NONE,TRUE,"CMSC131, MATH141",4,FALSE,[]
CMSC,330,Organization of Programming Languages,Cliff Bakalian,TRUE,NONE,TRUE,"CMSC250, CMSC216",3,FALSE,[]
CMSC,351,Algorithms,Clyde Kruskal,TRUE,NONE,TRUE,"CMSC250, CMSC216",3,FALSE,[]
CMSC,351,Algorithms,Justin Wyss-Gallifent,TRUE,NONE,TRUE,"CMSC250, CMSC216",3,FALSE,[]
CMSC,425,Game Programming,Stevens Miller,TRUE,NONE,TRUE,"CMSC330, CMSC351",3,FALSE,[]
CMSC,423,"Bioinformatic Algorithms, Databases, and Tools",Mihai Pop,TRUE,NONE,TRUE,"CMSC330, CMSC351",3,FALSE,[]
CMSC,433,Programming Language Technologies and Paradigms,Leonidas Lampropoulos,TRUE,NONE,TRUE,CMSC330,3,FALSE,[]
CMSC,452,Elementary Theory of Computation,William Gasarch,TRUE,NONE,TRUE,CMSC351,3,FALSE,[]
CMSC,411,Computer Systems Architecture,Ilchul Yoon,TRUE,NONE,TRUE,CMSC330,3,FALSE,[]
CMSC,335,Web Application Development with JavaScript,Nelson Padua-Perez,TRUE,NONE,TRUE,"CMSC250, CMSC216",3,FALSE,[]
CMSC,460,Computational Methods,Ling Liang,TRUE,NONE,TRUE,"MATH240/MATH341/MATH461, MATH241/MATH340, CMSC106/CMSC131, MATH246/MATH341",3,FALSE,[]
MATH,240,Introduction to Linear Algebra,Francisco Arana Herrera,TRUE,NONE,TRUE,MATH131/MATH141,4,FALSE,[]
MATH,241,Calculus III,Xiaoqi Huang,TRUE,NONE,TRUE,MATH141,4,FALSE,[]
MATH,246,Differential Equations for Scientists and Engineers,Francisco Arana Herrera,TRUE,NONE,TRUE,MATH141,3,FALSE,[]
MATH,310,Introduction to Mathematical Proof,Steve Halperin,TRUE,NONE,TRUE,"MATH141, MATH240/MATH341/MATH461, MATH241/MATH340",3,FALSE,[]
